FuelType,Car Brand,Car Model,Periodic Service Price GaadiMech,Express Service Price GaadiMech,Discounted Price,Comprehensive Service Price GaadiMech,Dent & Paint Price GaadiMech,Dent and Paint Full Body,
Diesel,Maruti,WagonR,#N/A,#N/A,200,,2299,#N/A,400
Diesel,Maruti,Zen,#N/A,#N/A,200,,2199,#N/A,400
Diesel,Maruti,Vitara Brezza,3799,3899,3599,5499,2699,#N/A,3799
Diesel,Maruti,Ignis,2999,3299,2999,5599,2499,#N/A,3199
Diesel,Maruti,S-Presso,2999,3299,2999,6099,2499,#N/A,3199
Diesel,Hyundai,Accent,3599,3899,3599,4699,2499,25550,3799
Diesel,Hyundai,Accent-Viva,3699,3899,3599,7499,2499,#N/A,3799
Diesel,Hyundai,Creta,4399,4699,4599,5699,2699,28550,4799
Diesel,Hyundai,Elantra,4699,4899,4599,7399,2499,27450,4799
Diesel,Hyundai,Elite-I20,3699,3899,3999,5299,2399,#N/A,4199
Diesel,Hyundai,Eon,#N/A,#N/A,200,,2299,22550,400
Diesel,Hyundai,Getz,#N/A,#N/A,200,,2499,25550,400
Diesel,Hyundai,Getz-Prime,3699,3899,3599,5499,2499,#N/A,3799
Diesel,Hyundai,Grand-I10,3199,3499,3199,4499,2299,#N/A,3399
Diesel,Hyundai,I10,#N/A,#N/A,200,,2299,25550,400
Diesel,Hyundai,i20 Active,3699,3999,3699,5499,2399,25550,3899
Diesel,Hyundai,Santa Fe,5999,6099,6199,8899,2499,#N/A,6399
Diesel,Hyundai,Santro Xing,#N/A,#N/A,200,,2199,22550,400
Diesel,Hyundai,Sonata,4799,4999,4699,7999,2499,27450,4899
Diesel,Hyundai,Sonata Embera,4799,4999,4699,7499,2499,27450,4899
Diesel,Hyundai,Sonata Transform,4799,4999,4699,7499,2499,27450,4899
Diesel,Hyundai,Alcazar,4999,5499,5199,6999,2999,28000,5399
Diesel,Hyundai,Verna,4199,4499,4599,6499,2499,27550,4799
Diesel,Hyundai,Verna Fluidic,4199,4499,4599,5899,2499,27450,4799
Diesel,Hyundai,Verna Transform,4199,4499,4599,6699,2499,27550,4799
Diesel,Hyundai,Xcent,3399,3699,3399,4999,2499,25550,3599
Diesel,Hyundai,Venue,3699,3899,3599,6199,2699,28550,3799
Diesel,Hyundai,Santro,2699,2999,2699,4099,2199,22550,2899
Diesel,Hyundai,Aura,3099,3399,3099,4499,2299,25550,3299
Diesel,Honda,Accord,#N/A,#N/A,200,,2599,29450,400
Diesel,Honda,Amaze,3499,3699,3399,5999,2599,26550,3599
Diesel,Honda,Brio,#N/A,#N/A,,,2499,25550,200
Diesel,Honda,City,3799,4199,3899,6699,2599,27550,4099
Diesel,Honda,City i-VTEC,#N/A,#N/A,,,2599,#N/A,200
Diesel,Honda,City ZX,3799,4199,3899,6699,2499,27550,4099
Diesel,Honda,Civic,4999,4999,4699,9199,2799,29450,4899
Diesel,Honda,Crv,5199,5099,4799,9099,2799,30450,4999
Diesel,Honda,Jazz,3999,4199,3999,6199,2499,25550,4199
Diesel,Honda,WR-V,3999,4199,3999,6199,2499,25550,4199
Diesel,Honda,Mobilio,3999,4199,3999,5999,2699,29550,4199
Diesel,Toyota,Camry,#N/A,#N/A,,,2599,28450,200
Diesel,Toyota,Corolla,4199,4499,4199,7799,2499,27550,4399
Diesel,Toyota,Corolla-Altis,4199,4499,4199,7799,2499,#N/A,4399
Diesel,Toyota,Etios,3699,3899,3599,5799,2499,25550,3799
Diesel,Toyota,Etios Cross,3599,3799,3499,5699,2499,25550,3699
Diesel,Toyota,Etios Liva,3599,3799,3499,5699,2499,25550,3699
Diesel,Toyota,Fortuner,7499,7499,7199,9599,2899,37450,7399
Diesel,Toyota,Innova,5799,5999,5999,7799,2899,30550,6199
Diesel,Toyota,Land Cruiser,9999,9499,9199,10399,2799,42450,9399
Diesel,Toyota,Innova Crysta,5999,6099,5999,8299,2799,30450,6199
Diesel,Toyota,Yaris,#N/A,#N/A,200,,2499,27450,400
Diesel,Toyota,Glanza,3099,3399,3199,5099,2499,25550,3399
Diesel,Toyota,Qualis,5199,5399,5099,7799,2699,28550,5299
Diesel,Toyota,Urban Cruiser,#N/A,#N/A,200,,2499,27550,400
Diesel,Toyota,Sera,#N/A,#N/A,200,,2499,27450,400
Diesel,Mahindra,Bolero,4999,5099,4799,7399,2699,28550,4999
Diesel,Mahindra,Quanto,5299,5499,5199,7299,2699,28550,5399
Diesel,Mahindra,Scorpio,5499,5699,5699,7399,2899,30550,5899
Diesel,Mahindra,Scorpio Getaway,5299,5499,5199,7399,2899,30550,5399
Diesel,Mahindra,Thar,5999,6099,5799,8499,2699,28550,5999
Diesel,Mahindra,Verito,4199,4499,4199,7299,2499,25550,4399
Diesel,Mahindra,XUV500,5499,5699,5999,7399,2999,#N/A,6199
Diesel,Mahindra,XUV700,6499,6499,6399,7399,2999,#N/A,6599
Diesel,Mahindra,Xylo,5299,5499,5199,7399,2699,28550,5399
Diesel,Mahindra,TUV300,5499,4699,4399,7499,2699,#N/A,4599
Diesel,Mahindra,KUV100,3499,3799,3499,5699,2499,#N/A,3699
Diesel,Mahindra,Nuvosport,4499,4699,4399,6599,2499,25550,4599
Diesel,Mahindra,Logan,5199,5399,5099,7299,2499,27550,5299
Diesel,Mahindra,Marazzo,5299,5499,5199,7399,2899,30550,5399
Diesel,Mahindra,XUV300,4199,4399,4099,6399,2699,#N/A,4299
Diesel,Mahindra,3XO,4199,4399,4099,6399,2699,#N/A,4299
